Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP	41150964.0	202.0	38580532.0	93.75	201.0	24748922.0	24411338.0	24501500.0	208057.0	24988.0	14377.0	0.19	0.01	1.5	0.0	1.24	1508779.0	3.67	58908.0	0.14	0.0	2.36	0.08	0	969868	32877
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP	29513634.0	202.0	27632854.0	93.63	200.94	16682008.0	16437779.0	16517237.0	138167.0	16488.0	10116.0	0.19	0.01	1.49	0.0	1.22	1005572.0	3.41	42234.0	0.14	0.0	2.72	0.1	0	803436	29538
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP	27791255.0	202.0	26110989.0	93.95	201.03	16341909.0	16115646.0	16184236.0	132072.0	15857.0	9744.0	0.19	0.01	1.5	0.0	1.23	982364.0	3.53	38471.0	0.14	0.0	2.28	0.09	0	634389	25042
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC	35359355.0	202.0	32995670.0	93.32	200.98	20197169.0	19921838.0	20000441.0	165615.0	18581.0	12532.0	0.18	0.01	1.49	0.0	1.23	1402369.0	3.97	52511.0	0.15	0.0	2.48	0.09	0	876979	31826
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP	25310499.0	202.0	23658636.0	93.47	200.98	15073100.0	14873196.0	14924602.0	125047.0	15209.0	8242.0	0.19	0.01	1.49	0.0	1.24	967332.0	3.82	36210.0	0.14	0.0	2.48	0.08	0	628061	20260
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP	21511997.0	202.0	20124580.0	93.55	201.01	12330190.0	12156031.0	12210548.0	99592.0	11780.0	8270.0	0.19	0.01	1.5	0.0	1.23	810873.0	3.77	30939.0	0.14	0.0	2.44	0.1	0	524124	21481
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACC	34227607.0	202.0	31885347.0	93.16	200.91	18276185.0	18003071.0	18098303.0	148048.0	17515.0	12319.0	0.19	0.01	1.5	0.0	1.24	1304792.0	3.81	51218.0	0.15	0.0	2.78	0.11	0	948711	37539
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIP	34136366.0	202.0	31918935.0	93.5	200.97	19830787.0	19547885.0	19634499.0	164904.0	18790.0	12594.0	0.19	0.01	1.51	0.0	1.24	1262224.0	3.7	52466.0	0.15	0.0	2.55	0.09	0	871966	30775
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIP	35419440.0	202.0	33222650.0	93.8	201.03	20806572.0	20515058.0	20601764.0	171655.0	20510.0	12643.0	0.18	0.01	1.51	0.0	1.22	1276115.0	3.6	49402.0	0.14	0.0	2.37	0.09	0	839397	31876
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC	26035217.0	202.0	24248270.0	93.14	201.0	14517425.0	14310952.0	14373417.0	121042.0	13653.0	9313.0	0.19	0.01	1.49	0.0	1.23	1097399.0	4.22	41509.0	0.16	0.0	2.39	0.1	0	622013	26026
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP	69226984.0	202.0	64907013.0	93.76	201.01	39947823.0	39385433.0	39555503.0	327202.0	40117.0	25001.0	0.18	0.01	1.5	0.0	1.24	2556025.0	3.69	96178.0	0.14	0.0	2.32	0.09	0	1605486	62282
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP	29335110.0	202.0	27447427.0	93.57	200.98	17355758.0	17122931.0	17183269.0	145276.0	17672.0	9541.0	0.19	0.01	1.49	0.0	1.23	1115725.0	3.8	40636.0	0.14	0.0	2.41	0.08	0	707826	23496
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP	24168624.0	202.0	22591841.0	93.48	200.91	13899330.0	13702530.0	13763911.0	112564.0	13914.0	8941.0	0.18	0.01	1.5	0.0	1.23	866509.0	3.59	34348.0	0.14	0.0	2.7	0.1	0	651786	24140
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC	27233126.0	202.0	25407287.0	93.3	200.87	15058768.0	14849033.0	14912157.0	122486.0	14363.0	9762.0	0.2	0.01	1.49	0.0	1.28	1069441.0	3.93	40539.0	0.15	0.0	2.53	0.09	0	691268	24591
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP	32176728.0	202.0	30151186.0	93.7	201.05	18905821.0	18648340.0	18717951.0	157261.0	19012.0	11597.0	0.19	0.01	1.5	0.0	1.24	1230706.0	3.82	46767.0	0.15	0.0	2.24	0.09	0	719174	28895
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP	38805151.0	202.0	36486524.0	94.02	201.04	22095265.0	21780108.0	21877682.0	182208.0	22195.0	13180.0	0.19	0.01	1.5	0.0	1.24	1331675.0	3.43	54404.0	0.14	0.0	2.3	0.1	0	893692	38856
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC	23436364.0	202.0	21948190.0	93.65	201.0	13016582.0	12822119.0	12887571.0	107635.0	12443.0	8933.0	0.19	0.01	1.51	0.0	1.25	834290.0	3.56	36888.0	0.16	0.0	2.53	0.1	0	593536	23460
NS.1223.004.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.25_31_vHIP	31669754.0	202.0	29540393.0	93.28	201.01	18501340.0	18252035.0	18316380.0	155511.0	18330.0	11119.0	0.19	0.01	1.49	0.0	1.23	1295041.0	4.09	46838.0	0.15	0.0	2.41	0.08	0	762181	25301
NS.1223.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.11_09_dHIP	27972785.0	202.0	26143996.0	93.46	200.99	15658628.0	15438055.0	15509534.0	123978.0	15300.0	9816.0	0.19	0.01	1.49	0.0	1.23	1088060.0	3.89	38689.0	0.14	0.0	2.4	0.11	0	671273	30767
NS.1223.004.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.03_32_ACC	27335011.0	202.0	25451776.0	93.11	200.95	15165205.0	14946266.0	15015689.0	125544.0	14360.0	9612.0	0.2	0.01	1.5	0.0	1.24	1120905.0	4.1	42108.0	0.15	0.0	2.53	0.1	0	692837	27385
NS.1223.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.17_32_ACC	47037713.0	202.0	44007031.0	93.56	201.0	26655501.0	26277286.0	26390634.0	222061.0	25901.0	16905.0	0.19	0.01	1.5	0.0	1.24	1754307.0	3.73	72498.0	0.15	0.0	2.46	0.09	0	1161387	42490
NS.1223.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.08_09_vHIP	39864985.0	202.0	37242407.0	93.42	201.02	22679072.0	22369254.0	22457250.0	185180.0	22574.0	14068.0	0.2	0.01	1.49	0.0	1.23	1559109.0	3.91	54656.0	0.14	0.0	2.44	0.09	0	972926	35887
NS.1223.004.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.10_35_dHIP	40015025.0	202.0	37512401.0	93.75	201.0	22516729.0	22193208.0	22294807.0	185554.0	22373.0	13995.0	0.19	0.01	1.49	0.0	1.23	1424431.0	3.56	56416.0	0.14	0.0	2.45	0.1	0	981707	40070
NS.1223.004.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.08_31_ACC	31467893.0	202.0	29367963.0	93.33	201.04	17430249.0	17177663.0	17259706.0	142848.0	16863.0	10832.0	0.2	0.01	1.52	0.0	1.23	1296853.0	4.12	46817.0	0.15	0.0	2.31	0.09	0	727900	28360
NS.1223.004.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.13_09_vHIP	32317633.0	202.0	30051887.0	92.99	200.91	17491810.0	17240624.0	17319165.0	144049.0	17522.0	11074.0	0.18	0.01	1.51	0.0	1.24	1280491.0	3.96	49670.0	0.15	0.0	2.79	0.11	0	900097	35488
NS.1223.004.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.01_15_dHIP	28285994.0	202.0	26425100.0	93.42	201.0	15855054.0	15625866.0	15700581.0	129044.0	15327.0	10102.0	0.21	0.01	1.53	0.0	1.25	1036488.0	3.66	40203.0	0.14	0.0	2.67	0.11	0	753173	31030
NS.1223.004.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.05_13_ACC	34630376.0	202.0	32321528.0	93.33	200.98	19770305.0	19483800.0	19574018.0	164108.0	19006.0	13173.0	0.2	0.01	1.5	0.0	1.24	1317683.0	3.8	55207.0	0.16	0.0	2.61	0.09	0	904759	31199
NS.1223.004.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.11_09_vHIP	48148891.0	202.0	45010971.0	93.48	201.01	26739745.0	26360488.0	26474863.0	222731.0	26569.0	15582.0	0.22	0.01	1.49	0.0	1.23	1818945.0	3.78	66133.0	0.14	0.0	2.5	0.1	0	1204656	48186
NS.1223.004.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.03_32_dHIP	36039621.0	202.0	33704723.0	93.52	201.04	19991125.0	19709326.0	19794756.0	163887.0	20176.0	12306.0	0.22	0.01	1.5	0.0	1.23	1349650.0	3.74	46968.0	0.13	0.0	2.51	0.1	0	902331	35949
