Sample	Read Pair Unique	Read Pair Not Optical Duplicates	Read Pair Optical Duplicates
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC	21883929.0	4310448.0	282351.0
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACCest_lib_complex_metrics	22408680.0	3926535.0	272018.0
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP	25536294.0	5507397.0	338201.0
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIPest_lib_complex_metrics	26166996.0	5032615.0	327133.0
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP	30332225.0	7007096.0	478878.0
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIPest_lib_complex_metrics	31103946.0	6440892.0	462583.0
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC	19029056.0	3509461.0	243963.0
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACCest_lib_complex_metrics	19427738.0	3243643.0	235568.0
NS.1223.004.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.25_31_vHIP	25066594.0	5431456.0	337384.0
NS.1223.004.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.25_31_vHIPest_lib_complex_metrics	25699366.0	4969709.0	326209.0
NS.1223.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.11_09_dHIP	22759694.0	4227882.0	244480.0
NS.1223.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.11_09_dHIPest_lib_complex_metrics	23279644.0	3857963.0	236327.0
NS.1223.004.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.03_32_ACC	21701387.0	4580762.0	290532.0
NS.1223.004.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.03_32_ACCest_lib_complex_metrics	22233500.0	4207198.0	280738.0
NS.1223.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.17_32_ACC	36538853.0	8720520.0	501965.0
NS.1223.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.17_32_ACCest_lib_complex_metrics	37552749.0	7951832.0	484666.0
NS.1223.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.08_09_vHIP	31557623.0	6839787.0	404106.0
NS.1223.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.08_09_vHIPest_lib_complex_metrics	32372926.0	6221590.0	389393.0
NS.1223.004.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.10_35_dHIP	31895887.0	6653980.0	386965.0
NS.1223.004.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.10_35_dHIPest_lib_complex_metrics	32734120.0	6066026.0	373644.0
NS.1223.004.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.08_31_ACC	25090357.0	5247039.0	327420.0
NS.1223.004.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.08_31_ACCest_lib_complex_metrics	25669397.0	4797075.0	315723.0
NS.1223.004.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.13_09_vHIP	25837177.0	5184165.0	311036.0
NS.1223.004.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.13_09_vHIPest_lib_complex_metrics	26563812.0	4773426.0	301960.0
NS.1223.004.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.01_15_dHIP	22747903.0	4428415.0	285270.0
NS.1223.004.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.01_15_dHIPest_lib_complex_metrics	23254701.0	4057346.0	274342.0
NS.1223.004.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.05_13_ACC	27040135.0	6235966.0	363110.0
NS.1223.004.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.05_13_ACCest_lib_complex_metrics	27754686.0	5715186.0	350083.0
NS.1223.004.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.11_09_vHIP	37822324.0	8535942.0	471650.0
NS.1223.004.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.11_09_vHIPest_lib_complex_metrics	38819367.0	7737805.0	451340.0
NS.1223.004.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.03_32_dHIP	28762294.0	5909979.0	382100.0
NS.1223.004.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.03_32_dHIPest_lib_complex_metrics	29384365.0	5370539.0	364990.0
