NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2 - Second read: Adapter 2	1694666	377822	169814	100721	81047	88877	61233	69513	55443	57173	50136	52440	37654	37783	46740	19792	37254	19955	17211	20441	19082	18304	16452	14026	13971	11007	10590	8804	8830	6631	7686	6275	5698	7431	6533	4596	5266	8953	948	2884	1062	1625	1467	1137	375	297	541	43	141	100	675	773	177	503	657	164	138	455	73	82	313	114	36	28	15	43	22	63	42	39	39	31	36	30	27	71	84	116	117	146	175	208	261	263	288	354	368	359	447	679	360	459	600	556	900	1025	331	188	3099
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2 - First read: Adapter 1	1185993	318985	166390	116378	94933	101774	88683	79730	73979	69123	63758	57775	56618	48861	48327	44033	31730	33028	30548	26583	26020	24235	21384	18324	18458	15705	14260	12645	10242	10388	8845	8641	8084	6679	6504	7228	4109	4897	4725	3929	4203	4394	8504	469	1592	3062	1606	559	1744	791	375	831	936	351	164	197	294	32	55	341	26	39	111	155	35	93	48	20	6	38	89	106	97	94	123	120	128	138	126	144	189	200	206	222	236	284	282	281	314	527	289	336	419	423	619	684	313	927	23604
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2 - Second read: Adapter 2	1452727	348227	182011	120354	98665	109678	78147	86384	69779	71435	65235	67781	47989	49259	59146	26636	46953	27483	23196	27304	25652	25818	23398	17386	16774	16780	11508	12547	10512	8992	10362	8755	7742	7326	6506	5101	5448	6704	2704	4531	2379	3434	3253	3130	4525	806	1673	383	701	514	1194	1382	289	896	1299	342	185	761	144	145	529	82	88	100	49	99	109	133	80	125	120	132	96	33	66	67	80	100	100	126	149	163	179	192	213	247	259	274	305	494	275	307	376	400	582	644	268	215	4261
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2 - First read: Adapter 1	767641	213646	115291	82252	68166	72443	62647	56570	53278	49576	43751	42620	39183	35858	35038	29994	23887	23401	22398	18257	18801	16931	15371	13051	13081	11173	10425	9129	7407	6926	6681	6239	4955	5350	4535	3643	3543	3485	2911	3347	2944	3311	8810	279	961	2889	361	76	701	111	31	212	181	21	7	12	61	3	15	127	6	8	24	46	6	26	32	18	1	2	21	36	57	55	47	57	76	62	62	72	92	86	95	114	134	166	174	148	184	230	141	199	210	260	348	336	179	507	11815
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2 - Second read: Adapter 2	930691	229048	123687	84853	72379	78177	54534	62016	49142	49451	47764	47515	36384	33624	44384	17689	35588	18327	15988	18967	18189	19093	16235	12491	11370	12131	8348	8307	8558	6277	6513	6853	5025	5692	4103	3732	5878	1905	2178	3213	1452	6021	1682	958	1723	897	680	731	485	473	731	766	354	516	610	244	291	445	245	179	334	228	158	132	149	83	93	69	44	21	11	8	10	9	14	17	22	26	35	32	48	47	57	83	97	129	129	135	148	180	131	161	183	230	304	310	155	181	2394
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R2 - First read: Adapter 1	1138169	318773	170382	121029	99516	106691	90981	83148	77924	72274	63981	62711	57381	51988	51024	43842	33976	34301	31884	27099	27327	24402	22132	18810	18873	15759	14747	12984	10609	10652	8941	8331	8190	6582	6723	5802	5444	4534	4073	4280	4328	4203	9399	436	1334	3114	1309	449	1548	556	275	683	691	229	113	129	206	21	59	298	20	20	106	139	37	91	49	26	1	28	63	71	85	81	76	85	126	100	120	113	152	123	172	180	199	239	203	212	262	372	226	282	306	353	504	519	262	812	17751
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R2 - Second read: Adapter 2	1400780	345079	183119	125458	103666	111675	83341	85334	78773	74435	68198	70273	51186	50571	61763	28091	52531	25897	22602	28043	26417	26592	23089	18276	17655	17130	11871	13153	10798	9672	9701	7030	8044	7520	7584	4766	5339	5193	3676	4532	2866	4840	3751	3641	3435	764	1398	203	447	322	1108	1131	261	790	839	437	204	755	118	161	477	84	78	110	33	82	96	107	77	77	71	86	87	33	34	54	89	73	87	96	129	95	157	157	166	209	190	196	238	361	217	260	284	345	476	487	229	151	2569
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R2 - First read: Adapter 1	1136780	307002	155469	106149	85569	88054	84950	74106	64650	62682	54094	54678	48158	46044	43576	37678	30034	29413	27684	23109	23303	21331	19084	15986	15993	13801	12373	11128	8903	9314	7181	7698	6616	5736	5460	4968	4209	4403	4032	3918	3929	3865	9740	480	1446	3318	566	210	923	296	236	621	242	34	30	38	125	10	28	194	6	6	52	84	12	48	33	17	5	13	42	76	76	85	90	110	85	96	95	139	111	149	151	177	146	219	201	227	269	368	225	286	318	326	495	548	232	734	16756
