Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NS.1223.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.11_09_dHIP	Unknown Library	0.0	27232056.0	2910950.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.03_32_ACC	Unknown Library	0.0	26572681.0	3024686.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.17_32_ACC	Unknown Library	0.0	45761338.0	4803128.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.08_09_vHIP	Unknown Library	0.0	38801516.0	4151974.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.10_35_dHIP	Unknown Library	0.0	38936832.0	3922694.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.08_31_ACC	Unknown Library	0.0	30664816.0	3464414.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.13_09_vHIP	Unknown Library	0.0	31332378.0	3455884.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.01_15_dHIP	Unknown Library	0.0	27461588.0	2815758.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.05_13_ACC	Unknown Library	0.0	33639211.0	3615124.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.11_09_vHIP	Unknown Library	0.0	46829916.0	4929614.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.03_32_dHIP	Unknown Library	0.0	35054373.0	3647434.0	0.0	0.0	0.0	0.0	0.0	
