Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC_R2	NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26035217.0	0.0	101.0	51.0	47.58304243501746	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP_R1	NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69226984.0	0.0	101.0	51.0	38.7310936411288	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP_R2	NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69226984.0	0.0	101.0	52.0	35.843400748442136	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP_R1	NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29335110.0	0.0	101.0	51.0	47.613066017432686	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP_R2	NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29335110.0	0.0	101.0	51.0	45.32576884018862	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP_R1	NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24168624.0	0.0	101.0	51.0	52.463287573856654	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP_R2	NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24168624.0	0.0	101.0	52.0	49.33424898240439	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC_R1	NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27233126.0	0.0	101.0	50.0	51.14803458939793	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC_R2	NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27233126.0	0.0	101.0	51.0	49.04161498689369	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP_R1	NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32176728.0	0.0	101.0	51.0	47.44009419682341	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP_R2	NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32176728.0	0.0	101.0	51.0	44.55902740093734	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP_R1	NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38805151.0	0.0	101.0	51.0	47.34058071089056	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP_R2	NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38805151.0	0.0	101.0	51.0	44.17878765433612	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC_R1	NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23436364.0	0.0	101.0	51.0	53.53805026713718	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC_R2	NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23436364.0	0.0	101.0	51.0	51.04356949653055	101.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
