Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP						0.208477	93.98	36192122.0	
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP_R1	54.76985632764645	51.0	101.0	18.181818181818183	38509207.0				
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP_R2	57.744579734573435	52.0	101.0	9.090909090909092	38509207.0				0.5119974771665168
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC						0.169995	93.5	24229340.0	
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC_R1	48.628927948601245	51.0	101.0	9.090909090909092	25914753.0				
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC_R2	51.50593835353418	52.0	101.0	9.090909090909092	25914753.0				0.5300357882883725
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC						0.187494	93.51	27568644.0	
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC_R1	49.774138272120716	51.0	101.0	9.090909090909092	29481268.0				
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC_R2	52.85531670174641	52.0	101.0	9.090909090909092	29481268.0				0.5288210583932365
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP						0.193246	93.53	34954417.0	
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP_R1	53.29297170907754	51.0	101.0	18.181818181818183	37371670.0				
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP_R2	55.10708770219965	51.0	101.0	9.090909090909092	37371670.0				0.5321189092493785
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP						0.195907	93.71	54322855.0	
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP_R1	57.104610134215854	51.0	101.0	18.181818181818183	57966911.0				
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP_R2	60.58462413213945	51.0	101.0	9.090909090909092	57966911.0				0.4868814018930405
